id_permintaan,id_poktan,id_komoditas,tanggal_permintaan,volume_permintaan,harga_satuan_transaksi,fase_musim,curah_hujan_mm,status_data
1,1,1,2025-01-01,339.74,26012.32,Rendeng,293.64,Cleaned
2,1,2,2025-01-01,288.94,15178.95,Rendeng,437.68,Cleaned
3,1,3,2025-01-01,56.48,76666.1,Rendeng,383.0,Cleaned
4,2,1,2025-01-01,421.84,24132.31,Rendeng,349.66,Cleaned
5,2,2,2025-01-01,281.27,15053.13,Rendeng,239.0,Cleaned
6,2,3,2025-01-01,47.66,77993.73,Rendeng,239.0,Cleaned
7,3,1,2025-01-01,426.34,24253.13,Rendeng,214.52,Cleaned
8,3,2,2025-01-01,361.39,13599.61,Rendeng,416.54,Cleaned
9,3,3,2025-01-01,45.31,77835.83,Rendeng,350.28,Cleaned
10,4,1,2025-01-01,343.4,24484.62,Rendeng,377.02,Cleaned
11,4,2,2025-01-01,262.93,13898.15,Rendeng,205.15,Cleaned
12,4,3,2025-01-01,45.34,86148.19,Rendeng,442.48,Cleaned
13,5,1,2025-01-01,319.36,25947.32,Rendeng,408.11,Cleaned
14,5,2,2025-01-01,146.94,15901.76,Rendeng,253.08,Cleaned
15,5,3,2025-01-01,32.75,79902.55,Rendeng,245.46,Cleaned
16,1,1,2025-01-08,255.02,23337.41,Rendeng,245.85,Cleaned
17,1,2,2025-01-08,218.97,13813.7,Rendeng,276.06,Cleaned
18,1,3,2025-01-08,53.14,87319.31,Rendeng,331.19,Cleaned
19,2,1,2025-01-08,227.36,26032.38,Rendeng,307.99,Cleaned
20,2,2,2025-01-08,187.02,13594.76,Rendeng,272.81,Cleaned
21,2,3,2025-01-08,64.66,92415.61,Rendeng,352.96,Cleaned
22,3,1,2025-01-08,281.94,22759.86,Rendeng,234.87,Cleaned
23,3,2,2025-01-08,305.4,15123.89,Rendeng,273.04,Cleaned
24,3,3,2025-01-08,41.02,88554.03,Rendeng,291.59,Cleaned
25,4,1,2025-01-08,256.45,26854.85,Rendeng,314.02,Cleaned
26,4,2,2025-01-08,308.87,15642.26,Rendeng,396.29,Cleaned
27,4,3,2025-01-08,38.49,90129.38,Rendeng,249.92,Cleaned
28,5,1,2025-01-08,330.06,24197.25,Rendeng,328.56,Cleaned
29,5,2,2025-01-08,251.95,15944.48,Rendeng,348.1,Cleaned
30,5,3,2025-01-08,47.08,77861.95,Rendeng,211.61,Cleaned
31,1,1,2025-01-15,251.86,26974.08,Rendeng,351.89,Cleaned
32,1,2,2025-01-15,448.18,15142.78,Rendeng,242.63,Cleaned
33,1,3,2025-01-15,49.87,90394.06,Rendeng,216.26,Cleaned
34,2,1,2025-01-15,215.38,24761.59,Rendeng,437.22,Cleaned
35,2,2,2025-01-15,365.8,15430.73,Rendeng,441.41,Cleaned
36,2,3,2025-01-15,37.79,85448.85,Rendeng,402.1,Cleaned
37,3,1,2025-01-15,316.71,26157.95,Rendeng,276.15,Cleaned
38,3,2,2025-01-15,143.23,13744.89,Rendeng,224.42,Cleaned
39,3,3,2025-01-15,36.72,77525.99,Rendeng,371.06,Cleaned
40,4,1,2025-01-15,315.75,23735.52,Rendeng,310.04,Cleaned
41,4,2,2025-01-15,359.08,13978.63,Rendeng,230.51,Cleaned
42,4,3,2025-01-15,51.71,91320.32,Rendeng,323.79,Cleaned
43,5,1,2025-01-15,290.75,23596.07,Rendeng,208.6,Cleaned
44,5,2,2025-01-15,275.91,16427.6,Rendeng,427.33,Cleaned
45,5,3,2025-01-15,53.42,82227.23,Rendeng,264.69,Cleaned
46,1,1,2025-01-22,242.41,23410.59,Rendeng,365.63,Cleaned
47,1,2,2025-01-22,263.15,15869.1,Rendeng,277.93,Cleaned
48,1,3,2025-01-22,60.57,87698.03,Rendeng,330.02,Cleaned
49,2,1,2025-01-22,327.49,24990.98,Rendeng,336.68,Cleaned
50,2,2,2025-01-22,365.4,15166.09,Rendeng,246.21,Cleaned
51,2,3,2025-01-22,53.24,88726.43,Rendeng,442.4,Cleaned
52,3,1,2025-01-22,305.48,23642.27,Rendeng,393.78,Cleaned
53,3,2,2025-01-22,245.85,16489.0,Rendeng,434.87,Cleaned
54,3,3,2025-01-22,56.12,93071.48,Rendeng,423.71,Cleaned
55,4,1,2025-01-22,382.48,25751.63,Rendeng,349.47,Cleaned
56,4,2,2025-01-22,374.5,14098.63,Rendeng,430.47,Cleaned
57,4,3,2025-01-22,41.61,88063.88,Rendeng,222.12,Cleaned
58,5,1,2025-01-22,275.26,22860.99,Rendeng,249.0,Cleaned
59,5,2,2025-01-22,326.5,13591.96,Rendeng,211.31,Cleaned
60,5,3,2025-01-22,59.76,80880.61,Rendeng,281.33,Cleaned
61,1,1,2025-01-29,261.67,24813.11,Rendeng,297.17,Cleaned
62,1,2,2025-01-29,285.15,16104.82,Rendeng,267.84,Cleaned
63,1,3,2025-01-29,38.94,88861.87,Rendeng,407.18,Cleaned
64,2,1,2025-01-29,309.59,26213.53,Rendeng,289.19,Cleaned
65,2,2,2025-01-29,365.0,14776.48,Rendeng,270.23,Cleaned
66,2,3,2025-01-29,50.52,82380.89,Rendeng,335.67,Cleaned
67,3,1,2025-01-29,294.24,24355.19,Rendeng,235.23,Cleaned
68,3,2,2025-01-29,380.28,16462.95,Rendeng,400.55,Cleaned
69,3,3,2025-01-29,53.62,77181.86,Rendeng,218.64,Cleaned
70,4,1,2025-01-29,248.39,26835.16,Rendeng,446.72,Cleaned
71,4,2,2025-01-29,328.91,15236.03,Rendeng,393.06,Cleaned
72,4,3,2025-01-29,65.38,83956.46,Rendeng,249.68,Cleaned
73,5,1,2025-01-29,297.13,26126.29,Rendeng,201.38,Cleaned
74,5,2,2025-01-29,425.17,14960.01,Rendeng,403.87,Cleaned
76,1,1,2025-02-05,365.75,26867.12,Rendeng,376.71,Cleaned
77,1,2,2025-02-05,306.96,16202.11,Rendeng,382.25,Cleaned
78,1,3,2025-02-05,47.01,83669.26,Rendeng,392.82,Cleaned
79,2,1,2025-02-05,291.69,23884.14,Rendeng,218.51,Cleaned
80,2,2,2025-02-05,140.99,15277.05,Rendeng,289.62,Cleaned
